Domain,IP,Status
aicam.sohatv.vn,222.255.27.129,503
liveview-reaction.sohatv.vn,103.69.194.150,404
api-videocall.sohatv.vn,14.225.10.21,503
dashboard-videocall.sohatv.vn,14.225.10.21,503
signal.sohatv.vn,123.31.11.251,200
docs-ovc.sohatv.vn,14.225.10.21,200
videocall.sohatv.vn,123.31.11.61,200
devkms.sohatv.vn,222.255.27.129,503
devadminplayer.sohatv.vn,222.255.27.129,503
jaegermap-videocall.sohatv.vn,123.31.11.63,401
vtl1-videoplayback.sohatv.vn,123.30.53.10,anubis
appmdc.sohatv.vn,222.255.27.129,anubis
cdn-traffic.sohatv.vn,103.107.181.191,waybackarchive
s1-ntl-cdn.sohatv.vn,123.30.242.87,waybackarchive
s2-vnpthcm-cdn.sohatv.vn,123.30.215.81,anubis
s5-ntl-cdn.sohatv.vn,123.30.242.83,anubis
s5-vnpthcm-cdn.sohatv.vn,123.30.215.134,waybackarchive
stats.sohatv.vn,222.255.27.180,waybackarchive
x3.sohatv.vn,103.109.40.47,waybackarchive
s1-vnpthcm-cdn.sohatv.vn,123.30.215.80,anubis
api-logdev.sohatv.vn,123.30.53.10,alienvault
media.sohatv.vn,222.255.27.129,waybackarchive
s1-nps-cdn.sohatv.vn,45.124.92.74,waybackarchive
mailsvr.sohatv.vn,123.31.11.29,anubis
s4-ntl-cdn.sohatv.vn,123.30.242.90,waybackarchive
s2-ntl.sohatv.vn,123.30.242.32,waybackarchive
s3-fpt-cdn.sohatv.vn,42.112.37.43,waybackarchive
vcplayer.sohatv.vn,123.30.151.76,waybackarchive
vpapi.sohatv.vn,222.255.27.129,waybackarchive
cdn-c5.sohatv.vn,123.31.11.78,waybackarchive
s3-vnpthcm-cdn.sohatv.vn,123.30.215.132,waybackarchive
s2-fpt-cdn.sohatv.vn,42.112.37.42,anubis
player.sohatv.vn,14.225.10.21,anubis
dev.sohatv.vn,103.69.194.186,alienvault
s8-ntl-cdn.sohatv.vn,123.30.242.86,waybackarchive
s9-ntl-cdn.sohatv.vn,123.30.242.23,waybackarchive
kms.sohatv.vn,123.30.151.76,anubis
play.sohatv.vn,123.30.151.76,anubis
doc-player.sohatv.vn,222.255.27.129,waybackarchive
s6-ntl-cdn.sohatv.vn,123.30.242.84,waybackarchive
kingtalk-dev.sohatv.vn,222.255.27.129,anubis
live-viewing.sohatv.vn,103.69.194.189,anubis
msh-git.sohatv.vn,10.3.81.162,anubis
s1-fpt-cdn.sohatv.vn,42.112.37.41,anubis
